 Day , Minutes 
24Mar2026,25
26Mar2026,130
28Mar2026,210
30Mar2026,303
01Apr2026,280
03Apr2026,70
08Apr2026,308
12Apr2026,265
14Apr2026,170
20Apr2026,327
22Apr2026,220
24Apr2026,178
26Apr2026,258
28Apr2026,210
30Apr2026,25
01May2026,215
02May2026,180
03May2026,229
04May2026,280
05May2026,280
06May2026,231
07May2026,284
08May2026,130
09May2026,181
10May2026,250
11May2026,300
12May2026,225.0
13May2026,311.0
14May2026,345.0
15May2026,240.0
16May2026,180.0
17May2026,360.0
18May2026,388.0
19May2026,305.0
20May2026,250.23
21May2026,340.0
22May2026,355.0
23May2026,280.0
24May2026,307.0
25May2026,315.0
26May2026,320.0
27May2026,250.23
28May2026,363.0
29May2026,235.0
30May2026,250.23
31May2026,5.0
02Jun2026,60.0
03Jun2026,190.0
04Jun2026,324.0
06Jun2026,31.0
07Jun2026,322.0
06Jul2026,341.0
07Jul2026,250.23
24Aug2026,44.0
25Aug2026,32.0
